#id arrival runtime priority memsize
1	10	27	1	70
2	15	5	8	206
3	18	0	2	6
4	28	10	0	185
5	38	19	3	235
6	41	10	0	89
7	50	20	3	147
8	52	27	5	224
9	54	10	0	90
10	62	20	3	89
11	65	27	6	86
12	67	18	0	211
13	73	28	3	111
14	73	29	8	42
15	83	27	4	189
16	93	5	0	85
17	93	18	3	135
18	99	11	6	3
19	106	1	7	142
20	109	18	9	54
21	115	1	6	216
22	115	10	5	82
23	116	28	10	130
24	122	25	8	36
25	132	7	2	160
26	137	28	1	234
27	145	28	9	162
28	147	24	8	11
29	151	28	2	234
30	157	17	4	82
31	158	16	3	60
32	159	23	10	91
33	167	11	3	130
34	174	2	1	86
35	182	0	1	239
36	187	25	6	171
37	187	27	1	44
38	187	7	7	94
39	193	28	7	10
40	200	18	6	33
41	203	27	3	147
42	213	29	0	139
43	215	3	5	164
44	221	15	1	245
45	225	29	9	11
46	230	28	4	201
47	231	21	5	225
48	231	8	9	251
49	237	10	0	138
50	241	28	10	155
51	247	17	9	1
52	257	16	7	74
53	259	17	4	29
54	268	28	4	155
55	270	17	4	183
56	276	7	3	124
57	278	24	5	205
58	278	23	8	5
59	283	15	6	161
60	288	26	5	154
61	292	15	0	188
62	294	0	9	183
63	295	16	4	59
64	298	24	6	106
65	307	26	7	11
66	308	11	9	117
67	318	27	6	109
68	323	18	8	24
69	329	23	8	54
70	329	8	0	167
71	336	24	6	69
72	344	29	1	206
73	344	3	9	34
74	344	22	4	190
75	346	20	1	5
76	356	14	2	228
77	363	17	1	65
78	366	16	6	17
79	369	28	7	209
80	369	9	3	172
81	373	21	1	100
82	382	13	1	85
83	385	13	4	180
84	394	25	6	98
85	395	27	8	124
86	400	17	9	16
87	402	23	5	170
88	405	24	2	198
89	412	18	10	80
90	416	8	2	142
91	416	14	6	10
92	424	15	2	214
93	431	20	8	59
94	432	22	4	226
95	433	16	3	158
96	435	22	7	156
97	439	13	2	128
98	442	2	10	102
99	451	23	1	253
100	456	6	10	172
