#id arrival runtime priority memsize
1	9	14	5	240
2	13	23	9	121
3	23	10	8	12
4	31	6	4	88
5	32	25	4	28
6	33	22	1	112
7	41	27	8	208
8	43	27	4	126
9	43	2	1	85
10	49	27	4	10
11	50	8	4	48
12	53	1	8	95
13	55	23	10	72
14	60	24	9	241
15	68	5	2	99
16	78	11	9	86
17	80	25	8	111
18	86	9	1	191
19	86	25	2	151
20	93	18	5	142
21	103	27	1	88
22	103	28	5	163
23	105	17	4	79
24	106	7	6	253
25	115	7	6	252
26	120	0	8	15
27	128	17	5	191
28	136	6	2	44
29	146	7	8	19
30	155	20	6	54
31	161	1	9	129
32	170	18	8	205
33	177	4	9	57
34	184	23	3	57
35	189	13	5	68
36	193	19	4	138
37	199	12	3	11
38	200	7	3	143
39	204	17	3	168
40	207	8	7	98
41	217	11	8	58
42	226	20	7	229
43	231	0	10	81
44	238	12	10	11
45	242	11	5	70
46	249	4	10	210
47	255	27	10	4
48	262	2	6	220
49	271	1	9	228
50	271	5	6	171
51	273	4	10	154
52	280	13	10	14
53	288	10	2	16
54	295	19	1	37
55	303	13	9	114
56	309	13	7	109
57	310	10	9	103
58	318	12	2	217
59	323	12	7	138
60	332	8	0	40
61	338	19	6	220
62	338	3	2	22
63	345	16	0	182
64	345	14	4	58
65	355	2	1	32
66	359	26	2	139
67	362	3	9	154
68	362	15	3	79
69	369	24	6	164
70	371	16	1	126
71	377	14	9	256
72	381	23	7	75
73	383	22	6	74
74	391	18	1	69
75	396	10	8	74
76	402	15	8	40
77	405	18	6	162
78	414	10	4	55
79	418	15	8	217
80	419	10	9	105
81	428	25	8	208
82	429	11	2	182
83	433	16	6	1
84	439	2	9	34
85	442	1	3	64
86	451	26	2	60
87	457	27	8	215
88	457	21	10	97
89	467	25	1	172
90	469	9	1	227
91	479	26	4	194
92	487	11	3	78
93	491	0	0	118
94	500	5	2	183
95	508	5	2	201
96	513	12	2	185
97	519	25	0	47
98	522	6	2	207
99	530	2	7	28
100	536	3	4	254
