#id arrival runtime priority
1	9	2	3
2	18	23	5
3	25	26	9
4	34	12	8
5	36	20	4
6	43	22	10
7	45	17	1
8	48	4	2
9	50	16	8
10	55	20	6
11	63	21	9
12	63	3	5
13	66	17	5
14	66	12	10
15	74	19	2
16	76	14	8
17	77	3	3
18	77	17	3
19	78	28	3
20	87	23	2
21	90	20	6
22	91	18	9
23	95	17	7
24	104	4	3
25	113	29	10
26	122	13	2
27	129	24	7
28	139	27	2
29	141	5	8
30	144	22	6
31	150	4	2
32	151	5	6
33	159	18	1
34	163	2	7
35	170	28	0
36	174	18	3
37	180	25	6
38	180	28	9
39	180	10	0
40	186	8	0
41	188	14	4
42	190	3	4
43	198	17	0
44	206	26	5
45	210	22	6
46	212	14	7
47	216	18	3
48	224	27	8
49	228	14	3
50	232	13	2
51	234	11	4
52	238	20	6
53	247	29	7
54	256	24	8
55	257	23	6
56	264	27	9
57	265	10	7
58	269	27	3
59	269	7	0
60	270	7	2
61	271	19	5
62	275	27	2
63	285	19	3
64	289	22	1
65	290	8	1
66	298	19	4
67	302	21	7
68	302	25	9
69	303	28	2
70	303	18	8
71	305	19	6
72	312	22	6
73	319	23	4
74	327	1	9
75	336	12	2
76	336	11	0
77	338	20	10
78	348	19	1
79	354	28	3
80	361	8	5
81	365	17	8
82	373	6	4
83	376	19	10
84	381	23	7
85	382	6	5
86	383	4	1
87	384	22	9
88	394	25	7
89	394	10	2
90	396	13	8
91	403	25	5
92	405	7	5
93	411	14	0
94	414	7	6
95	424	20	8
96	428	11	10
97	431	11	1
98	433	13	3
99	440	26	7
100	449	25	7
